en	ga
In that event, this Treaty shall apply to those Islands from the first day of the second month foliosving the deposit of the declaration.	Sa chás sin, bainfidh an Conradh seo leis na hoileáin sin amhail ón gcéad lá den dará mí tar eis an dearbhú sin a thaisceadh.
Denmark Ireland United Kingdom	An Ríocht Aontaithe 19.32%
The Board of Directors shall consist of 19 directors and 11 alternates.	19 stiúrthóir agus 11 malartach a bheidh ar an mBord Stiúrthóiri. thóiri.
No member of the Committee shall at the same time be a Member of the European Parliament.	Ni fhéadfaidh comhalta den Choiste bheith ina chomhalta de Pharlaimint na hEorpa san am céanna.
(c) for the application of Article 59 to bought scrap, the High Authority shall, in cooperation with the Governments of Member States, obtain the necessary information on availabilities and requirements, including exports to third countries.	— dramh cosamair a úsáideann na gnóthais go direach; ach cuirfear san áireamh a bhfaightear amhlaidh den chosamar sin nuair a bheidh bonn cionroinnte an draimh a cheannaítear á ríomh; c) d'fhonn forálacha Airteagal 59 a chur chun feidhme ar dhramh a cheannaítear, déanfaidh an tArd-Udarás, i gcomhar le Rialtais na mBallstát, an fhaisnéis is gá a chruinniú i dtaobh a bhfuil ar fáil agus a bhfuil ag teastáil, agus onnmhairí go tríú tíortha san áireamh.
CHAPTER 17	CAIBIDIL 17
Member States shall com municate to the Commission, which shall see that it is circulated, all useful information to that end in accordance with the administrative conditions recommended by it.	Déanfaidh na Ballstáit gach faisnéis fhóinteach ina leith sin a chur in iúl don Choimisiún, a áiritheoídh go dtabharfar leathantas di, ar na módhannariaracháin a mholfaidh sé.
The projects referred to in Article 41 shall be communicated to the Commission and, for information purposes, to the Member State con cerned not later than three months before the first contracts are concluded	Cuirfear na tionscadail da dtagraítear in Airteagal 41 in iúl don Choimisiún agus, mar eolas dó, don Bhallstát lena mbaineann, tráth nach déanaí ná tri mhí sula ndéanfar na chéad chonarthaí leis
(c) This Treaty shall not apply to those overseas countries and territories having special relations with the United Kingdom of Great Britain and Northern Ireland which are not listed in Annex IV to the Treaty establish ing the European Economic Community.	c) Ní bhainfidh an Conradh seo leis na tíortha agus na críocha thar lear a bhfuil caidreamh speisialta acu le Ríocht Aontaithe na Breataine Móire agus Thuaisceart Éireann agus nach bhfuil luaite sa liosta in Iarscríbhinn IV den Chonradh ag bunú Chomhphobal Eacnamaíochta na hEorpa.
Within the meaning of this Ankle, 'budget' shall include the operating budget and the research and investment budget.	De réir bhrí an Airteagail seo, folóidh 'buiséad' an buiséad oibre agus an buiséad taighde agus infheistíochta.
Save in the case of compulso!)· retirement, members of the Court of Auditors shall remain in office until they have been replaced.	Ach amháin i gcás comhalta a scor go héigeantach, fanfaidh comhaltaí na Cúirte Iniúchóiri i seilbh oifige go dtí go ngabhfar a n-ionad.
The Commission may obtain the information it requires to carry out its tasks.	Féadfaidh an Coimisiún an fhaisnéis a chruinniú is gá dó chun a chúraimí a chomhlíonadh.
(c) to share markets, products, customers or sources of supply.	(c) chun margaí, táirgí, custaiméirí nó foinsí soláthair a chionroinnt.
The latter shall be required to conform to this during the budgetarv procedure, subject lo the provisions of the fourth and fifth subparagraphs of this paragraph.	Beidh de cheangal orthu sin cloí leis le linn imeachtaí an bhuiséid, faoi réir fhorálacha an cheathrú agus an chúigiú fomhír den mhír seo.
Anti radiation plate glass:	Plátghloine frithradaíochta:
It shall lake account in particular of the need to link island, landlocked and peripheral regions with the central regions of the Community.	Tabharfaidh si aird go háirithe ar a riachtanaí atá sé na réigiúin oileánacha, talamhiata agus forimeallacha a cheangal le réigiúin láir an Chomhphobail.
In this connection, any Member State, the Commission or the Board of Directors of the Bank may institute proceedings under the conditions laid down in Article 173;	I dtaca leis sin de, féudfuidh aon Bhallstát nó an Coimisiún nó Bord Stiúrthóiri un Bhuinc imeuchtuí u thionscnumh fuoi nu coinníoltuchu uta leagtha sios in Airteagal 173;
— 50% of the share of its respective Member State in the population of the Community in the penultimate year preceding the establishment of the ESCB;	— 50 % de scair a Bhallstáit faoi seach i nduonru un Chomh phobail sa bhliain leathdhéanach roimh CEBC a binimi;
(c) shall provide non-repayable aid towards:	(c) soláthróidh sé cabhair neamh-inaisíoctha chun cuidiú:
Liquid steel cast or not cast into ingots, including ingots for forging3	Cruach leachtach a teilgeadh nó nár teilgeadh ina huingi, agus uingi don teilgcheárta san áireamh3
Until the regulations provided for in paragraph 4 of Article 66 have been made, the information referred to in that paragraph may be required only from undertakings within the jurisdiction of the Commission in accordance with the provisions of Anicle 47.	Go dti go mbeidh na rialacháin dá bhforáiltear ín Airteagal 66(4) deanta, ni fhéadfar an fhaisnéis dá dtagraitear sa mhir sin a éileamh ach ar ghnóthais atá faoi dhlinse an Choimisiúin de réir fhorálacha Airteagal 47.
The European Parliament, acting on a recommendation from the Council which shall act by a qualified majority, shall give a discharge to the Commission in respect of the implementation of the budget.	Déanfaidh Pariaimint na hEorpa, ag gniomhú di ar mholadh ón gComhairle a ghniomhóidh tri thromlach cáilithe, urscaoileadh a thabhairt don Choimisiún i leith an buiséad a chur i ngníomh.
Ireland Italy Luxembourg Netherlands Austria Portugal Finland Sweden United Kingdom	An Iodáil Lucsamburg An ísiltír An Ostair An Phortaingéil An Fhionlainn An tSualainn An Ríocht Aontaithe
ICES Division Reference zones for fixing the TACs	Scaireanna na Sualainne (t)
Set up by 393 D 06/9:Commission Decision 93/619/ EC of 19 November 1993 (OJ No L 297, 2.12.1993, p. 25).	Arna chur ar bun le 393 D 0619: Cinneadh 93/619/CEE ón gCoimisiún an 19 Samhain 1993 (IO Uimh. L 297, 2.12.1993, Ich. 25).
— 393 R 2617: Council Regulation (EEC) No 2617/93 of 21 September 1993 (OJ No L 240, 25.9.1993, p. 1).	2617/93 ón gComhairle an 21 Meán Fómhair 1993 (IO Uimh. L 240, 25.9.1993, Ich. 1).
If the Council does not adopt such measures, the transitional period shall be automatically extended for a final period of three years, during which the provisions of paragraph 2 shall apply.	Mura nglacfaidh an Chomhairle bearta den sórt sin, fadófar go huathoibríoch an idirthréimhse ar feadh tréimhse deiridh tri bliana agus beidh forálacha mhír 2 infheidhme lena linn sin.
The voting rules are set out in Article 280 E of the Treaty on the Functioning of the European Union.	Tá na rialacha vótála leagtha síos in Airteagal 280e den Chonradh ar Fheidhmiú an Aontais Eorpaigh.
Article 5 shall be repealed; it shall be replaced by Article 3b of the Treaty on European Union.	Aisghairtear Airteagal 5; cuirtear Airteagal 3b den Chonradh ar an Aontas Eorpach ina ionad.
It may also, if it deems it necessary, take part in the Conciliation Committee in accordance with paragraph 11.’.	Féadfaidh sé freisin, má mheasann sé gur gá, a bheith rannpháirteach sa Choiste Idir-réitigh i gcomhréir le mír 11.’
‘GIVEN that on 16 October 1996 and 30 October 1997 the United Kingdom government notified the Council of its intention not to participate in the third stage of economic and monetary union,’;	‘ÓS RUD É gur chuir rialtas na Ríochta Aontaithe in iúl don Chomhairle an 16 Deireadh Fómhair 1996 agus an 30 Deireadh Fómhair 1997 nach raibh sé ar intinn aige a bheith rannpháirteach sa tríú céim den aontas eacnamaíoch agus airgeadaíochta,’;
Article 280 A (43)	Airteagal 280a (43)
In cases where expenditure is not charged to the Union budget, it shall be charged to the Member States in accordance with the gross national product scale, unless the Council acting unanimously decides otherwise.	Nuair nach muirearófar an caiteachas ar bhuiséad an Aontais, muirearófar ar na Ballstáit é i gcomhréir le scála na holltáirgeachta náisiúnta mura gcinnfidh an Chomhairle a mhalairt ag gníomhú di d'aon toil.
The provisions on the measures on the crossing of external borders included in Article 77(2)(b) of the Treaty on the Functioning of the European Union shall be without prejudice to the competence of Member States to negotiate or conclude agreements with third countries as long as they respect Union law and other relevant international agreements.	Beidh na forálacha ar na bearta maidir le teorainneacha seachtracha a thrasnú atá in Airteagal 77(2)(b) den Chonradh ar Fheidhmiú an Aontais Eorpaigh gan dochar d'inniúlacht na mBallstát comhaontuithe a chaibidil nó a thabhairt i gcrích le tríú tíortha fad a dhéanfaidh siad dlí an Aontais agus comhaontuithe idirnáisiúnta ábhartha eile a urramú.
Article 291 (	Airteagal 291 (
Areas of shared competence	Réimsí inniúlachta arna roinnt
Transparency of the proceedings of Union institutions, bodies, offices and agencies	Trédhearcacht imeachtaí institiúidí, chomhlachtaí, oifigí agus ghníomhaireachtaí an Aontais
When drawing up its proposals for achieving the objectives set out in paragraphs 1 and 2, the Commission shall take into account the extent of the effort that certain economies showing differences in development will have to sustain for the establishment of the internal market and it may propose appropriate measures.	Nuair a bheidh a thograí á n-ullmhú aige d'fhonn na cuspóirí dá dtagraítear i míreanna 1 agus 2 a bhaint amach, tabharfaidh an Coimisiún aird ar a mbeidh le déanamh ag geilleagair áirithe nach bhfuil araon chéim maidir lena bhforbairt chun an margadh inmheánacha bhunú agus féadfaidh sé bearta iomchuí a mholadh.
Where it is established, under the procedure referred to in paragraph 3, that the economic policies of a Member State are not consistent with the broad guidelines referred to in paragraph 2 or that they risk jeopardising the proper functioning of economic and monetary union, the Commission may address a warning to the Member State concerned.	Má shuitear, faoi chuimsiú an nós imeachta dá dtagraítear i mír 3, nach bhfuil beartais eacnamaíocha Ballstáit comhchuí leis na mór-threoirlínte dá dtagraítear i mír 2 nó gur dóigh dóibh oibriú rianúil an aontais eacnamaíoch agus airgeadaíochta a chur i gcontúirt, féadfaidh an Coimisiún foláireamh a dhíriú chuig an mBallstát i dtrácht.
Article III-214	Airteagal III-214
These aids must be granted in particular in order to:	Ní mór na cabhracha sin a dheonú go háirithe d'fhonn:
The Council may, acting by a qualified majority, request that the matter be referred to the European Council for decision by unanimity.	Féadfaidh an Chomhairle, ag gníomhú di trí thromlach cáilithe, a iarraidh go ndéanfar an cheist a chur faoi bhráid na Comhairle Eorpaí chun go nglacfar cinneadh d'aon toil.
(b) any court or tribunal of that State may request the Court of Justice to give a preliminary ruling on a question raised in a case pending before it and concerning the validity or interpretation of an act referred to in paragraph 1 if that court or tribunal considers that a decision on the question is necessary to enable it to give judgment.	(b) go bhféadfaidh aon chúirt nó binse de chuid an Bhallstáit sin a iarraidh ar an gCúirt Bhreithiúnais réamhrialú a thabhairt ar cheist a thugtar ar aird i gcás atá ar feitheamh os comhair na cúirte nó an bhinse sin agus a bhaineann le bailíocht nó léiriú gníomh dá dtagraítear i mír 1 má mheasann an chúirt nó an binse sin gur gá breith maidir leis an gceist ionas go bhféadfaidh sí nó sé breithiúnas a thabhairt.
References in Article 44 to the tasks of the ECB and the EMI shall include those tasks that still need to be performed in the third stage owing to any decision of the United Kingdom not to move to that stage.	Áireofar na tagairtí in Airteagal 44 do chúraimí BCE agus IEA arna cúraimí sin nach móra chomhall fós sa tríú céim de dheasca aon chinnidh ón Ríocht Aontaithe gan gluaiseacht chuig an tríú céim.
Summary of the documents translated by DGT during the process:	Achoimre ar na doiciméid arna n-aistriú ag Ard-Stiúrthóireacht an Aistriúcháin le linn an phróisis:
Periodic reports by the Commission to the Council and Parliament on implementation of the directive in the Member States	Tuarascálacha tréimhsiúla ón gCoimisiún chuig an gComhairle agus an bParlaimint maidir le cur chun feidhme na treorach sna Ballstáit
The applicant should be prepared to discuss their educational background and work experience in detail as well as emphasise their strengths.	Ba chóir go mbeadh an tiarratasóir ullamh lena chúlra oideachais a phlé go mion mar aon leis an taithí oibre atá aige agus na láidreachtaí a bhaineann leis.
The usual period is from two to four weeks.	Idir coicís agus ceithre seachtaine a bhíonn le fanacht de ghnáth.
Social benefits (such as family allowances, unemployment benefit and housing subsidies) do reduce the risk of poverty, but a household that depends on benefits alone will rarely achieve anything like a decent standard of living.	Más fíor go laghdaíonn sochair shóisialta (mar liúntais leanaí, sochar dífhostaíochta agus fóirdheontais tithíochta) priacal na bochtaineachta, mar sin féin is annamh don teaghlach atá taobh le sochair amháin caighdeán maireachtála cuibheasach a bhaint amach.
In this respect, Open Methods of Coordination assist national policies in moving towards common EU goals while giving Member States the choice of how to achieve them.	Ar an gcuma seo, cabhraíonn Modhanna Oscailte Comhordaithe le beartais náisiúnta chun dul chun cinn a dhéanamh i dtreo comhchuspóirí an AE, agus an rogha a thabhairt do Bhallstáit conas iad a bhaint amach.
Monitoring and evaluation are at the core of the Progress Strategic Framework	Tá monatóireacht agus meastóireacht ag croílár Chreat Straitéiseach Progress
The 2003 CAP reform shifted financial assistance for farmers towards direct aids decoupled from production (i.e. not linked to amounts produced) thus reducing incentives for intensive production.	Sa bhliain 2003 d’aistrigh leasú CBT cúnamh airgeadais d’fheirmeoirí i dtreo cúnamh díreach a bhí díchúpáilte ó tháirgeadh (is é sin, nach raibh baint leis an méid táirgthe) agus dreasachtaí le haghaidh diantáirgthe a laghdú dá réir.
4 400 grt for shrimps and 4 400 grt for fish and cephalopods;tuna: 23 seiners, 14 pole-and-line vessels	Tar éis tréimhse fada taighde agus ullmhúcháin, tá na sceireacha ullamh anois agus is gearr go ndéanfar iad a shuncáil san fharraige os comhair an mhurlaigh.
From the entrances ateither end of the rectangle you find yourself directly in the vasttiled hall where the morning sale takes place.	Ó na bealaí isteach ón dáthaobh den dronuilleog téann tú go díreach isteach sa hallafairsing tílithe áit a mbíonn díolachán na maidine ann.
‘It was then recognised inan extremely important instrument, the International Plan of Action(3) against illegal fisheries, adopted by the FAO in 2001,’ continues Jean-François Pulvenis de Séligny.	“Ansin cuireadh in áirithe é in ionstraim an-tábhachtach, is é sin le rá an Plean gníomhaíochta idirnáisiúnta(3)in aghaidh na hiascaireachta mídhleathaí, plean ar ghlac EBT leis i 2001,”arsa Jean-François Pulvenis de Séligny.
The first consists of reconciling the interests of producers of one of the last wild food products with those of processors, distributors and consumers in a context of increasingly scarce and often endangered resources.	Socraíonn comhnoirm na margaíochta airíonna tráchtála comhchuibhithe go háirithe do tháirgí úra an iascaigh agus an dobharshaothraithe le linn a ndíolta den chéaduair laistigh den Aontas Eorpach.
In 15 years, quotas have collapsed and the situation has grown far worse for the fishing sector.	Tar éis 15 bliana tá titim thubaisteach tar éis teacht ar na cuótaí agus cúrsaí tar éis dul in olcas go mór d’earnáil an iascaigh.
It also calls on the sector to assume greater responsibility for implementation of fisheries policy objectives.	Iarrann sé freisin go mbeadh an earnáil níos freagraí idtaca le cur i bhfeidhm chuspóirí an bheartais seo.
INTRODUCTION....................................... 1	RÉAMHRÁ............................................ 1
3) project used the the EU-backed InLET ( occasion of the 2004 Olympic Games in Athens to introduce visitors to the Greek	AE tacaíocht, na Cluichí Oilimpeacha san Aithin sa bhliain 2004 ionas go mbeadh
Charter of Fundamental Rights of the European Union • 7	Cairt um Chearta Bunúsacha an Aontais Eorpaigh • 7
visits per month, it provides user-friendly access to some 1.8 million documents on European legislation in all ocial languages.	úsáidchúntach ar , milliún doiciméad ar an reachtaíocht Eorpach sna teangacha oifigiúla go léir.
The European Commission embodies and upholds the general interest of the Union.	Tá ceanncheathrú na Comhairle sa Bhruiséil, ach bíonn cuid dá cuid cruinnithe aici i Lucsamburg freisin.
Committee on Civil Liberties, Justice and Home Affairs	An Coiste um Shaoirsí Sibhialta, um Cheartas agus um Ghnóthaí Baile
Access to a document containing opinions for internal use as part of deliberations and preliminary consultations within the institution concerned shall be refused even after the decision has been taken if disclosure of the document would seriously undermine the institution's decisionmaking process, unless there is an overriding public interest in disclosure.	mbainfeadh nochtadh an doiciméid go mór de phróiseas cinnteoireachta na hinstitiúide, mura rud é go bhfuil leas sáraitheach poiblí ann i dtaca le nochtadh an doiciméid lena mbaineann.
Such agents, advisers and lawyers shall, when they appear before the Court, enjoy the rights and immunities necessary to the independent exercise of their duties, under conditions laid down in the Rules of Procedure.	Beidh ag na gníomhairí, na comhairleoirí agus na dlíodóirí sin nuair a láithreoidh siad os comhair na Cúirte, na cearta agus na díolúintí is gá lena ndualgais a fheidhmiú go neamhspleách, faoi choinníollacha a bheidh leagtha síos sna rialacha nós imeachta.
Protocol (No 25) on the exercise of shared competence	25) maidir le hinniúlachtaí roinnte a fheidhmiú. . . . . .........
Acts adopted in the framework of enhanced cooperation shall bind only participating Member States.	Ní bheidh gníomhartha arna nglacadh faoi chuimsiú an chomhair fheabhsaithe ina gceangal ach arna Ballstáit rannpháirteacha amháin.
(d) support defence technology research, and coordinate and plan joint research activities and the study of technical solutions meeting future operational needs;	(d) tacú le taighde i dteicneolaíocht na cosanta, agus gníomhaíochtaí comhpháirteacha taighde agus staidéar ar réitigh theicneolaíocha a fhreagróidh do riachtanais oibríochtúla todhchaí a chomhordú agus a phleanáil;
Article 3 (repealed) ( 1	Airteagal 3 (aisghairthe) ( 1
Chapter 2 — monetary policy	Caibidil 2 – Beartas airgeadaíochta
Forests form an essential part of the landscape and of the local climate.	Is cuid riachtanach den tírdhreach agus den aeráid áitiúil iad foraoiseacha.
European Personnel Selection Office www.europa.eu/epso	Is féidir tuilleadh eolais mar gheall ar Lucsamburg a fháil trí chuairt a thabhairt ar www.ont.lu.
A Polish environmental NGO complained that the EIB had co-financed the Project “Poland Road Modernisation” although no strategic environmental impact assessment of the Project had been carried out, as required by Polish environmental law.	Rinne eagraíocht neamh-rialtais comhshaoil as an bPolainn gearán gur chomh-mhaoinigh an EIB an Tionscadal “Poland Road Modernisation” cé nach ndearnadh aon mheasúnú straitéiseach ar an tionchar ar an gcomhshaol, de réir mar a éilíonn dlí na Polainne.
In December 2007, the Ombudsman launched his second ever inquiry into the timeliness of payments by the Commission.	I mí na Nollag 2007, sheol an tOmbudsman an dara fiosrúchán féintionscanta riamh dá chuid ar thráthúlacht íocaíochtaí déanta ag an gCoimisiún.
The Ombudsman offers a fast, flexible and free means of solving problems with the EU administration.	Na hinstitiúidí agus na comhlachtaí lenarbhain na fiosrúcháin
The criminal organisation used couriers and specially designed vehicles to traffic cocaine, hashish, ecstasy and heroin.	Tá bealaí nua á bhforbairt i gcónaí; mar shampla, tá ardú an-mhór tagtha ar smuigléireacht
A European decision shall be a non-legislative act, binding inits entirety. A decision which specifies those to whom it isaddressed shall be binding only on them.	5.Ina réimsí inniúlachta, rachfar i gcomhairle leisan mBanc Ceannais Eorpach maidir le gach gníomh arnabheartú den Aontas, agus le gach togra rialacháin ar an leibhéal náisiúnta, agus féadfaidh sé tuairim a thabhairt.
National Parliament Mr Daniel Valchev Mr Nikolai Mladenov	Rialtas An tUasal Hannes Farnleitner
The Commission’s term of office shall be fiveyears.	Beidh téarma oifige cúig bliana ag an gCoimisiún.
The Council shall, acting unanimously on a proposal from the Commission andafter consulting the European Parliament and the ECB, adopt the approprtateprovisions which shall then replace the said hotocol.	Déanfaidh an Chomhairle, ag gníomhú di d'aon toil ar thogra ón gCoimisiún agus tar éis dui i gcomhairle le Parlaimint na hEorpa agus le BCE, na forálacha iomchuí a ghlacadh a chuirfear in ionad an Phrótacail sin.
I89c and after consulting the Economicand Social Committee, shall adopt measures to contribute to the achievementof the objectives referred to in this	Déanfaidh an Chomhairle, ag gníomhú di i gcomhréir leis an nós imeachta dá dtagraitear in Airteagal 189c agus tar éis dui i gcomhairle leis an gCoiste Eacnamaíoch agus Sóisialta, bearta a ghlacadh chun rannchuidiú leis na cuspòirí dá dtagraitear san Airteagal seo a ghnóthú, amach ò aon chomhchuibhiú ar dhlíthe agus rialúcháin na mBallstát. '
It shall be binding in its entirety anddireuly applicable in all Member States.	Beidh sé ina cheangal go huile agus go hiomlån agus infheidhme go díreach i ngach Ballstát.
