en	ga
On a proposal from the Board of Directors adopted by a qualified majority, the Board of Governors may, acting by a qualified majority, compulsorily retire a member of the Management Committee.  	Ar thogra ón mBord Stiúrthóirí arna ghlacadh trí thromlach cáilithe, féadfaidh an Bord Gobharnóirí, ag gníomhú dó trí thromlach cáilithe, comhalta den Choiste Bainistíochta a scor go héigeantach.  
Where both the Management Committee and the Commission deliver an unfavourable opinion, the Board of Directors may not grant the finance.8.  	Má thugann an Coiste Bainistíochta agus an Coimisiún araon tuairim neamhfhabhrach, ní fhéadfaidh an Bord Stiúrthóirí an maoiniú a dheonú.8.  
Such decision shall not release either the Member State or its nationals from their obligations towards the Bank.	Ní shaorfaidh an cinneadh sin an Ballstát ná a náisiúnaigh óna n-oibleagáidí i leith an Bhainc.
It shall ensure that the rights of the members of staff are safeguarded.	Áiritheoidh sé go ndéanfar cearta bhaill na foirne a chosaint.
The provisions on the measures on the crossing of external borders included in Article III-265(2)(b) of the Constitution shall be without prejudice to the competence of Member States to negotiate or conclude agreements with third countries as long as they respect Union law and other relevant international agreements.	Beidh na forálacha ar na bearta maidir le teorainneacha seachtracha a thrasnú atá in Airteagal III-265(2)(b) den Bhunreacht gan dochar d'inniúlacht na mBallstát comhaontuithe a chaibidil nó a thabhairt i gcrích le tríú tíortha fad a dhéanfaidh siad dlí an Aontais agus comhaontuithe idirnáisiúnta ábhartha eile a urramú.
The European Central Bank shall, in addition, be exempt from any form of taxation or imposition of a like nature on the occasion of any increase in its capital and from the various formalities which may be connected therewith in the State where the Bank has its seat.  	Beidh an Banc Ceannais Eorpach díolmhaithe ina theannta sin ó aon saghas cánachais nó aon mhuirir dá shamhail ar ócáid aon mhéadaithe ar a chaipiteal agus ó na foirmiúlachtaí éagsúla a d'fhéadfadh a bheith ag baint leis na nithe sin sa Stát ina bhfuil suíomh an Bhainc.
The use of property may be regulated by law insofar as is necessary for the general interest.2.	Féadfar úsáid maoine a rialáil le dlí a mhéad is gá sin ar mhaithe leis an leas ginearálta.2.
Such views shall be taken into consideration on matters which concern them in accordance with their age and maturity.2.	Cuirfear na tuairimí sin san áireamh i dtaca le hábhair a bhaineann leo i gcomhréir lena n-aois agus lena n-aibíocht.2.
Article II-85	Airteagal II-85
Article II-90	Airteagal II-90
Access to services of general economic interest	Rochtain ar sheirbhísí ar mhaithe le leas eacnamaíoch ginearálta
The United Kingdom shall be entitled, notwithstanding Articles III-130 and III-265 of the Constitution, any other provision of the Constitution, any measure adopted under the Constitution, or any international agreement concluded by the Union or by the Union and its Member States with one or more third States, to exercise at its frontiers with other Member States such controls on persons seeking to enter the United Kingdom as it may consider necessary for the purpose:  	D'ainneoin Airteagail III-130 agus III-265 den Bhunreacht, aon fhorála eile den Bhunreacht, aon bhirt arna ghlacadh faoin mBunreacht nó aon chomhaontaithe idirnáisiúnta arna thabhairt i gcrích ag an Aontas nó ag an Aontas agus a Bhallstáit le tríú Stát amháin nó níos mó, beidh an Ríocht Aontaithe i dteideal cibé rialuithe a mheasfaidh sí is gá a fheidhmiú ag a teorainneacha le Ballstáit eile ar dhaoine atá ag lorg iontráil sa Ríocht Aontaithe:  
Residues and waste from the food industries; prepared animal fodder	Iarmhair agus dramh ó na tionscail bhia; farae ullmhaithe d'ainmhithe
CHAPTER 54	CAIBIDIL 54
THE PRESIDENT OF THE REPUBLIC OF HUNGARY,  	UACHTARÁN PHOBLACHT NA hUNGÁIRE,  
THE FEDERAL PRESIDENT OF THE REPUBLIC OF AUSTRIA,  	UACHTARÁN CÓNAIDHME PHOBLACHT NA hOSTAIRE,  
António Victor MARTINS MONTEIRO	António Victor MARTINS MONTEIRO
European laws or framework laws may lay down rules to prohibit discrimination on grounds of nationality as referred to in Article I-4(2).	Féadfar rialacha a leagan síos le dlíthe Eorpacha nó le dlíthe réime Eorpacha chun idirdhealú ar fhoras náisiúntachta a thoirmeasc dá dtagraítear in Airteagal I-4(2).
Article III-129	Airteagal III-129
Member States shall, within the framework of a joint programme, encourage the exchange of young workers.  	Taobhóidh na Ballstáit, faoi chuimsiú cláir chomhpháirtigh, le hoibrithe óga a mhalartú le chéile.  
In carrying out the tasks entrusted to it under this Article the Commission shall be guided by:	Chun na cúraimí a chuirtear air faoin Airteagal seo a chomhlíonadh, beidh mar stiúir ag an gCoimisiún:  
The Council shall act unanimously on application by a Member State.	Gníomhóidh an Chomhairle d'aon toil ar iarratas ó Bhallstát.
The following shall be compatible with the internal market:	Beidh cabhair dá leithéid seo a leanas ag luí leis an margadh inmheánach:
The President of the Council may be invited to appear before the competent committee of the European Parliament if the Council has made its recommendations public.6.	Féadfar a iarraidh ar Uachtarán na Comhairle láithriú os comhair choiste inniúil Pharlaimint na hEorpa má bhíonn a moltaí poiblithe ag an gComhairle.6.
In that case it shall adopt, without undue delay, on a recommendation from the Commission, recommendations addressed to the Member State concerned with a view to bringing that situation to an end within a given period.  	Sa chás sin, glacfaidh sí, gan mhoill, ar mholadh ón gCoimisiún, na moltaí arna ndíriú chuig an mBallstát i dtrácht chun deireadh a chur leis an staid sin laistigh de thréimhse a thugtar.  
without prejudice to Article III-344, to formulate opinions at the request of either the Council or the Commission or on its own initiative, and to contribute to the preparation of the Council proceedings referred to in Article III-206.  	gan dochar d'Airteagal III-344, tuairimí a fhoirmiú, arna iarraidh sin don Chomhairle nó don Choimisiún nó ar a thionscnamh féin, agus rannchuidiú le hullmhú imeachtaí na Comhairle dá dtagraítear in Airteagal III-206.  
Article III-209	Airteagal III-209
Article III-212	Airteagal III-212
European laws or framework laws shall establish measures to ensure the application of the principle of equal opportunities and equal treatment of women and men in matters of employment and occupation, including the principle of equal pay for equal work or work of equal value.  	Bunófar le dlíthe Eorpacha nó le dlíthe réime Eorpacha na bearta d'fhonn a áirithiú go gcuirfear i bhfeidhm prionsabal an chomhionannais deiseanna agus na córa comhionainne idir mná agus fir i gcúrsaí fostaíochta agus slí beatha, lena n-áirítear prionsabal an phá chomhionainn as obair chomhionann nó obair ar comhionann a luach.  
TRANS-EUROPEAN NETWORKS	GRÉASÁIN THRASEORPACHA
The Union and the Member States shall coordinate their research and technological development activities so as to ensure that national policies and the Union's policy are mutually consistent.2.	Déanfaidh an tAontas agus na Ballstáit a ngníomhaíochtaí a chomhordú maidir le taighde agus forbairt theicneolaíoch chun a áirithiú go mbeidh comhchuibheas frithpháirteach idir na beartais náisiúnta agus beartas an Aontais.2.
In that case, the procedure referred to in Article III-396 shall be suspended.  	Sa chás sin, déanfar an nós imeachta dá dtagraítear in Airteagal III-302 a chur ar fionraí.  
Article III-279	Airteagal III-279
Action by the Union shall be aimed at encouraging cooperation between Member States and, if necessary, supporting and complementing their action in the following areas:  	Is é is aidhm do ghníomhaíocht an Aontais comhar idir Bhallstáit a chothú agus, más gá, tacú lena ngníomhaíocht agus í a chomhlánú sna réimsí seo a leanas:  
Article III-287	Airteagal III-287
the procedures for setting up and financing the start-up fund, in particular the amounts allocated to the fund;  	na nósanna imeachta chun an ciste tosaithe a chur ar bun agus a mhaoiniú, go háirithe na méideanna arna gcionroinnt ar an gciste;  
European laws or framework laws shall establish the measures necessary for the implementation of paragraph 1.	Bunófar le dlíthe Eorpacha nó le dlíthe réime Eorpacha na bearta is gá chun mír 1 a chur chun feidhme.
It shall reply orally or in writing to questions put to it by the European Parliament or by its members.3.	Freagróidh sé ó bhéal nó i scríbhinn ceisteanna a chuirfidh Parlaimint na hEorpa nó comhaltaí Pharlaimint na hEorpa chuige.3.
If the Commission considers that the Member State concerned has not taken the necessary measures to comply with the judgment referred to in paragraph 1, it may bring the case before the Court of Justice of the European Union after giving that State the opportunity to submit its observations.  	Má mheasann an Coimisiún nach bhfuil na bearta is gá do chomhlíonadh an bhreithiúnais dá dtagraítear i mír 1 glactha ag an mBallstát i dtrácht, féadfaidh sé an cás a thabhairt os comhair Chúirt Bhreithiúnais an Aontais Eorpaigh, tar éis caoi a thabhairt don Bhallstát sin a bharúlacha a thíolacadh.  
Article III-365	Airteagal III-365
The Court of Justice of the European Union may in any cases before it prescribe any necessary interim measures.	Féadfaidh Cúirt Bhreithiúnais an Aontais Eorpaigh, in aon chásanna os a comhair, aon bhearta idirlinne is gá a ordú.  
The audit of revenue shall be carried out on the basis of the amounts established as due and the amounts actually paid to the Union.	Iniúchfar an t-ioncam ar bhonn na suimeanna is dlite arna suíomh agus ar bhonn na suimeanna arna n-íoc iarbhír leis an Aontas.
Their term of office shall be renewable.	Féadfar a dtéarma oifige a athnuachan.
The Economic and Social Committee shall elect its chairman and officers from among its members for a term of two and a half years.	Déanfaidh an Coiste Eacnamaíoch agus Sóisialta a chathaoirleach agus a oifigigh a thoghadh as líon a chomhaltaí go ceann téarma dhá bhliain go leith.
The Conciliation Committee, which shall be composed of the members of the Council or their representatives and an equal number of members representing the European Parliament, shall have the task of reaching agreement on a joint text, by a qualified majority of the members of the Council or their representatives and by a majority of the members representing the European Parliament within six weeks of its being convened, on the basis of the positions of the European Parliament and the Council at second reading.11.  	Beidh de chúram ar an gCoiste Idir–réitigh, a chomhdhéanfar de chomhaltaí na Comhairle nó dá n–ionadaithe agus a chomhlíon de chomhaltaí a ionadóidh Parlaimint na hEorpa, teacht ar chomhaontú maidir le téacs comhpháirteach, trí thromlach cáilithe de chomhaltaí na Comhairle nó dá n–ionadaithe agus trí thromlach de na comhaltaí a ionadóidh Parlaimint na hEorpa, laistigh de shé seachtaine óna chomóradh ar bhonn sheasamh Pharlaimint na hEorpa agus na Comhairle sa dara léamh.11.  
However, the courts of the country concerned shall have jurisdiction over complaints that enforcement is being carried out in an irregular manner.  	Ach beidh dlínse ag cúirteanna na tíre i dtrácht ar ghearáin go bhfuil an forfheidhmiú á dhéanamh ar dhóigh neamhrialta.
THE UNION'S ANNUAL BUDGET	BUISÉAD BLIANTÚIL AN AONTAIS
The Council, on a proposal from the Union Minister for Foreign Affairs, may also adopt any transitional measures necessary with regard to the application of the acts already adopted within the framework of enhanced cooperation.  	Féadfaidh an Chomhairle, ar thogra ó Aire Gnóthaí Eachtracha an Aontais, aon bhearta idirthréimhseacha is gá a ghlacadh maidir le cur i bhfeidhm na ngníomhartha atá glactha cheana faoi chuimsiú an chomhair fheabhsaithe.  
Unless the United Kingdom notifies the Council that it intends to adopt the euro, it shall be under no obligation to do so.  	Mura gcuirfidh an Ríocht Aontaithe in iúl don Chomhairle go bhfuil sé ar intinn aici an euro a ghlacadh, ní bheidh aon iallach uirthi déanamh amhlaidh.  
They may not engage in any occupation, whether gainful or not, unless exemption is exceptionally granted by a European decision of the Council, acting by a simple majority.  	Ní fhéadfaidh siad gabháil d'aon slí bheatha, sochrach ná neamhshochrach, mura dtabharfaidh an Chomhairle díolúine d'eisceacht le cinneadh Eorpach, ag gníomhú di trí thromlach simplí.  
The deliberations of the Court of Justice shall be and shall remain secret.	Beidh plé na Cúirte Breithiúnais ina rún agus fanfaidh sé amhlaidh.
Proceedings against the Union in matters arising from non-contractual liability shall be barred after a period of five years from the occurrence of the event giving rise thereto.	Beidh imeachtaí i gcoinne an Aontais in ábhair a éireoidh as dliteanas neamhchonarthach faoi urchosc tar éis tréimhse cúig bliana ó tharla an teagmhas as ar éirigh siad.
acts of the Council by which the Council exercises implementing powers in accordance with Article I-37(2) of the Constitution;	gníomhartha de chuid na Comhairle lena bhfeidhmíonn sí cumhachtaí feidhmithe i gcomhréir le hAirteagal I-37(2) den Bhunreacht.
Article IV-437	Airteagal IV-437
The institutions, bodies, offices and agencies responsible for those procedures shall take all appropriate measures to that effect.  	Glacfaidh na hinstitiúidí, na comhlachtaí, na hoifigí agus na gníomhaireachtaí is freagrach as na nósanna imeachta sin gach beart is iomchuí chuige sin.  
A European law of the Council may repeal the transitional provisions set out in this Protocol, when they are no longer applicable.  	Féadfaidh dlí Eorpach ón gComhairle na forálacha idirthréimhseacha atá leagtha amach sa Phrótacal seo a aisghairm nuair nach mbeidh siad infheidhme a thuilleadh.
Provisions on the Channel Islands and the Isle of Man	Forálacha maidir le hOileáin Mhuir nIocht agus le hOileán Mhanann
If, during the application of the arrangements defined in this Section, difficulties appear on either side in relations between the Union and the territories referred to in Article 8, the Commission shall without delay propose to the Council such safeguard measures as it believes necessary, specifying their terms and conditions of application.  	Más rud é, ar na socruithe a shainítear sa Roinn seo a fheidhmiú, go n-éireoidh deacrachtaí de pháirt amháin nó de pháirt eile sa chaidreamh idir an tAontas agus na críocha sin dá dtagraítear in Airteagal 8, molfaidh an Coimisiún don Chomhairle, gan mhoill, na bearta cosanta is dóigh leis a bheith riachtanach, ag sonrú na gcoinníollacha agus na modhanna feidhmiúcháin.  
The sectors in which Denmark shall make information available to the European Atomic Energy Community are as follows:	Is iad seo a leanas na hearnálacha ina bhfuil an Danmhairg le faisnéis a chur ar láimh an Chomhphobail Eorpaigh do Fhuinneamh Adamhach:
compatibility of structural materials;	comhoiriúnacht ábhar forganta;
Article 28	Airteagal 28
Subject to paragraph 2 and without prejudice to Subsection 3, the common fisheries policy shall not apply to Ceuta or to Melilla.  	Faoi réir mhír 2 agus gan dochar d'fhoroinn 3, ní bheidh feidhm ag an gcomhbheartas iascaigh maidir le Ceuta ná le Melilla.  
In the German language version of new legal acts the specific Austrian terms referred to in the Annex to Protocol No 10 to the Act concerning the conditions of accession of the Republic of Austria, the Republic of Finland and the Kingdom of Sweden shall be added in appropriate form to the corresponding terms used in Germany.  	10 atá i gceangal leis an Ionstraim i dtaobh choinníollacha aontachais Phoblacht na hOstaire, Phoblacht na Fionlainne agus Ríocht na Sualainne.  
The flag of the Union shall be a circle of twelve golden stars on a blue background.	Is éard é bratach an Aontais ciorcal ina bhfuil dháréag réalta órga ar chúlra gorm.
The common foreign and security policy	An comhbheartas eachtrach agus slándála
The European Council shall consist of the Heads of State or Government of the Member States, together with its President and the President of the Commission.  	Beidh Chomhairle Eorpach comhdhéanta de Cheannairí Stáit nó Rialtais na mBallstát mar aon lena hUachtarán agus Uachtarán an Choimisiúin.
The European Council President	Uachtarán na Comhairle Eorpaí
A Committee of Permanent Representatives of the Governments of the Member States shall be responsible for preparing the work of the Council.6.	Beidh coiste de Bhuanionadaithe Rialtais na mBallstát freagrach as imeachtaí na Comhairle a ullmhú.6.
He or she shall ensure the consistency of the Union's external action.	Áiritheoidh sé nó sí comhchuibheas ghníomhaíocht eachtrach an Aontais.
The European Council may, unanimously, adopt a European decision authorising the Council to act by a qualified majority when adopting the European law of the Council referred to in paragraph 2.  	Féadfaidh an Chomhairle Eorpach cinneadh a ghlacadh d'aon toil lena n-údarófar don Chomhairle gníomhú trí thromlach cáilithe nuair a bheidh an dlí Eorpach ón gComhairle dá dtagraítear i mír 2 á ghlacadh.
The Member States declare their intention of taking greater account of the contributive capacity of individual Member States in the system of own resources, and of examining means of correcting, for the less prosperous Member States, regressive elements existing in the present own resources system.  	Dearbhaíonn na Ballstáit a n-intinn aird níos mó a thabhairt ar chumas ranníocaíochta na mBallstát leithleach sa chóras acmhainní dílse agus modhanna a scrúdú a cheartódh i gcás na mBallstát is lagrathúla eilimintí cúlchéimnitheacha atá sa chóras láithreach acmhainní dílse.
Declaration on Article I-51	Dearbhú maidir le hAirteagal I-51
OJ L 281, 23.11.1995  	IO L 281, 23.11.1995  
Article III-124 confers power on the Union to adopt legislative acts, including harmonisation of the Member States' laws and regulations, to combat certain forms of discrimination, listed exhaustively in that Article.  	Níl mír 1 agus Airteagal III-124 den Bhunreacht contrártha lena chéile ná níl siad ar neamhréir le chéile ná ní hionann an raon feidhme ná an chríoch atá acu: tugann Airteagal III-124 cumhacht don Aontas chun gníomhartha reachtacha a ghlacadh, lena n-áirítear comhchuibhiú ar dhlíthe agus ar rialacháin na mBallstát, chun cineálacha áirithe idirdhealaithe, a bhfuil liosta iomlán díobh san Airteagal sin, a chomhrac.  
Freedom of movement and residence may be granted, in accordance with the Constitution, to nationals of third countries legally resident in the territory of a Member State.  	I gcomhréir le hAirteagal 52(2) den Chairt(
) corresponds to Article 8 of the ECHR	) d'Airteagal 2 de CECD;
) corresponds to Article 4 of Protocol No 4	) d'Airteagal 8 de CECD;
93	93
The Member States look forward to possible proposals of the Commission as well as further contributions of Member States with regard to strengthening and clarifying the implementation of the Stability and Growth Pact.	Tá na Ballstáit ag tnúth le haon tograí a d'fhéadfadh an Coimisiún a dhéanamh mar aon le haighneachtaí breise ó na Ballstáit maidir le cur chun feidhme an Chomhshocraithe Cobhsaíochta agus Fáis a neartú agus a shoiléiriú.
Declaration on Article III-248	Dearbhú maidir le hAirteagal III-248
WHEREAS this Protocol respects the finality and the objectives of the Geneva Convention of 28 July 1951 relating to the status of refugees,  	DE BHRÍ go n-urramaíonn an Prótacal seo críochnaitheacht agus cuspóirí Choinbhinsiún na Ginéive an 28 Iúil 1951 maidir le stádas dídeanaithe,  
Protocol amending the Treaty establishing the European Atomic Energy Community	Prótacal ag leasú an Chonartha ag bunú an Chomhphobail Eorpaigh do Fhuinneamh Adamhach
Annex I - List referred to in Article III-226 of the Constitution	Iarscríbhinn I — Liosta dá bhforáiltear in Airteagal III-226 den Bhunreacht
Declaration by the Kingdom of the Netherlands on Article IV-440	Dearbhú ó Ríocht na hÍsiltíre maidir le hAirteagal IV-440
Deze Slotakte is tevens ondertekend door de volgende kandidaat-lidstaten van de Europese Unie, waarnemers bij de Conferentie:  	Deze Slotakte is tevens ondertekend door de volgende kandidaat-lidstaten van de Europese Unie, waarnemers bij de Conferentie:  
