CleaningType,Dataset,SampleID,SampleText
Complete duplicates,EUbookshop,11,"Ag féachaint don Chonradh ag bunú Chomhphobal Eacnamaíochta na hEorpa, agus go háirithe d'Airteagal 145 de,
Mura gcomhaontaítear go cairdiúil, féadfar ceadúnais neamh-eisiatacha a dheonú le headráin nó faoi chumhachtaí éigeantacha de réir Airteagail 18 go 23:
Féadfaidh an ranníocaíocht faoi Chlár Ignalina dul suas le 100 % den chaiteachas iomlán do bhearta áirithe.
Airteagal III-323
An Fhionlainn: an 1 Eanáir 1996"
Complete duplicates,EUbookshop,12,"Caibid 1 I: Taighde a chur chun cinn Caibid 1 II: Faisnéis a leathadh Caibid 1 III: Sláinte agus sábháilteacht Caibid 1 IV: Infheistiocht Caibid 1 V: Gnóthais chomhpháirteacha Caibid 1 VI: Soláthairtí Caibid 1 VII: Coimircí Caibid 1 VIII: Úinéireacht mhaoine Caibid 1 IX: An Cómhargadh Núicléach Caibid 1 X: Caidreamh eachtrach
Forálacha ginearálta agus críochnaitheacha
An dleacht (mar %) atá le cur san áireamh don Fhrainc
Is léir go bhfuil tionchar ag forbairtí teicneolaíocha nua ar na ceanglais i ndáil le creat dlíthiúil éifeachtach maidir le sonraí a chosaint.
Stán neamhshaoirithe; dramh agus bruscar stáin"
Complete duplicates,EUbookshop,13,"Ocht mbliana a bheidh ina dtéurmu oifige ugus ni fhéadfar 6 a athnuachan.
(a) Sa chéad mhír d'Airteagal 3, cuirtear ""sixty"" in ionad ""forty­eight"".
Leasaíonn an Prótacal seo an Conradh ag bunú an Chomhphobail Eorpaigh do Fhuinneamh Adamhach (dá ngairtear ‘Conradh CEFA’ anseo feasta) sa leagan atá i bhfeidhm ar dháta an Conradh ag bunú Bunreachta don Eoraip a theacht i bhfeidhm.
Thar Lear leis an gComhphobal *
Ba mhian leis freisin cuidiú leis an agallamh idirna páirtithe ábhartha éagsúla (na hiascairí, na húinéirí loinge,oibrithe thionscal na próiseála nó na trádála, luchtdobharshaothraithe, grúpaí ban i réimse na hiascaireachta,comhlachais timpeallachta agus grúpaí eile nach iad …), aguscuidiú leis an agallamh eatarthu seo agus lucht na heolaíochtachomh maith leis na hinstitiúidí."
Complete duplicates,EUbookshop,14,"Déanfar an coincheap faoi ghnáthstoic le tabhairt anonn a shainiú do gach táirge ar bhonn na gcritéar agus na gcuspóirí is sonrach do gach comheagraíocht mhargaidh.
Díothófar an fóírdheontas sin i sé chéim, i gcomhthráth le céimeanna comhfhogasaithe phraghas an ime.
Tugann an Chomhdháil dá haire go ngabhann an Coimisiún air féin, agus na comhairliúcháin a mheasann sé is gá á nglacadh aige mar bhonn agus a choras chun reachtaíocht Chomhphobail a mheas á neartú aige, aird a thabhairt, maidir lena thograi reacht aíochta, ar na costáis agus na sochair d'údaráis phoibli na mBallstát agus do na páirtithe uile lena mbaineann.
Roghnófar tri chrannchur an bhreitheamh sin.
DENMARK-UNITED KINGDOM"" agus athuimhritear na ceannteidil iardain mar a leanas:"
Complete duplicates,EUbookshop,15,"Airteagal III-360
Déanfar imeachtaí den sórt sin a thionscnamh laistigh de dhá mhí ón uair a foilsíodh an cinneadh, nó a cuireadh in iúl don ghearánaí é nó, murar cuireadh, ón lá a fuair sé fios air, de réir mar a bheidh.
Aon Bhallstát ar mian leis bheith rannpháirteach sa chomhar feabhsaithe arna bhunú i gcomhréir le hAirteagal 40a, cuirfidh sé a intinn in iúl don Chomhairle agus don Choimisiún agus tabharfaidh an Coimisiún tuairim don Chomhairle laistigh de thrí mhí ó dháta an fhógra sin a fháil; féadfaidh moladh a bheith in éineacht leis an tuairim sin maidir le cibé socruithe sonracha a mheasfaidh sé a bheith riachtanach chun go dtiocfaidh an Ballstát sin chun bheith ina pháirtí sa chomhar sin.
370 L 0524: Treoir 70/524/CEE ón gComhairle an 23 Samhain 1970 maidir le breiseáin in ábhair bheatha (IO Uimh. L 270, 14.12.1970, Ich.
73.06 go 73.14 (seuchus táirgí u thig fuoi réim un Chomhphobuil Eorpaigh do Ghual agus Cruach)"
Complete duplicates,EUbookshop,16,"Seans freisin go bhfuil tú ag breathnú ar earcaíocht thar theorainneacha – san Eoraip.
Na hionadaithe do Bhallstáit a ghlacann páirt in obair institiúidi na gComhphobal, beidh acu féin agus ag a gcomhair-
Ní hé an scéim chúitimh an t-aon chabhair a mbaineann anearnáil iascaigh agus dobharshaothraithe tairbhe as snaréigiúin is forimeallaí.
TAR ÉIS CINNEADH ar Chomhairle Aonair agus Coimisiún Aonair de na Comhphobail Eorpacha a bhunú agus, chun na eriche sin, tar éis na daoine seo a leanas a cheapadh mar Lánchumhachtaigh :
Is léir ón mhéid seo gurb iad na beartais is éifeachtúla le tabhairt faoi bhochtaineacht an pháiste ná iad siúd a chuireann le chéile bearta um fhilleadh ar an obair do na tuismitheoirí agus meicníochtaí ioncaim íosta do theaghlaigh agus fáil níos fearr ar phríomhsheirbhísí (mar chúram leanaí, oideachas, tithíocht agus cúram sláinte)."
Complete duplicates,EUbookshop,17,"Dearbhaíonn an Chomhdháil, más rud é nach mbeidh aon dlí Eorpach ón gComhairle lena mbunófar creat nua airgeadais glactha faoi dheireadh 2006 agus sna cásanna ina bhforáiltear i gConradh Aontachais an 16 Aibreán 2003 do thréimhse um chéimniú insteach a mbeidh deireadh léi i 2006 don a leithreasaí a chionroinnt arna Ballstáit nua, go mbunófar cionroinnt na gcistí amhail ó 2007 ar bhonn na gcritéar céanna a chuirtear i bhfeidhm maidir leis na Ballstáit uile.
Cuirfear an comhfhogasú sin ar aghaidh chomh rianúil agus is féidir agus críochnófar é tráth nach déanai ná deireadh na hídirthréimhse.
Glacfar na cinntí sin nuair ís cosúil gá a bheith leo chun go seachnófar suaití ar fud an chómhargaidh nó ín aon chuid de, nó éagothromaíochtai idir na modhanna praghasluaite a úsáidtear d'earra agus d'ábhair a dhéanta.
Táirgeadh iomlán
Ni fhéadfaidh siad bheith ag gabháil d'aon sii bheatha, sochrach ná neamhshochrach, mura dtabharfaidh an Chomhairle díolúine d'eisceacht, ag gniomhú di tri thromlach dhá thrian."
Complete duplicates,EUbookshop,18,"Fairsinge an bhonn-uiscehiopocsach agus anocsach, Fómhar 2007
CAIBIDIL 23
Ní bheidh Comhdháil Ionadaithe na mBallstát ina bac nó ina réamhchoinníoll ar dhóigh ar bith do phróiseas an mhéadaithe.
377 L 0099: Treoir 77/99/CEE ón gComhairle an 21 Nollaig 1976 maidir le fadhbanna sláinte a dhéanann difear do tháirgeadh agus margú táirgí feola agus táirgí áirithe eile de thionscnamh ainmhíoch (IO Uimh. L 26, 31.1.1977, Ich.
tseirbhís a sholáthar, a ghníomhaiocht a shaothrú go sealadach sa Stát ina soláthraítear an tseirbhís, faoi choinníollacha mar a chuireann an Stát sin ar a náisiúnaigh féin."
Complete duplicates,EUbookshop,19,"Uimh. in Ainmníocht na Bruiséilc
Dhaingnigh an Chúirt Bhreithiúnais an cásdlí seo sna téarmaí seo a leanas: ‘Fairis sin, ba chóir a mheabhrú go bhfuil na ceanglais a eascraíonn ó chosaint ceart bunúsach i ndlíchóras an Chomhphobail ceangailteach freisin arna Ballstáit nuair a chuireann siad rialacha Comhphobail chun feidhme ...’ (breithiúnas an 13 Aibreán 2000, Cás C 292/97 , [2000] ECR 2737, mír 37 de na forais).
‘Tuairiscítear go bhfuil báid tuinnín ann in aice le Pantelleria,’ a mhíníonn an píolóta ag taispeáint dúinn mapa na n-aimsithe suímh VMS.
Rú i an a a e n
11 ar shraithadhmad (Ceannleideal ex 44.15 sa CTC)"
Complete duplicates,EUbookshop,20,"Airteagal III-254
Féadfaidh an Chomhairle, ag gniomhú di tri thromlach cáilithe agus de réir mhír 2, an chomheagraíocht dá bhforáiltear in Airteagal 40(2) a chur in ionad na n-eagraíochtaí náisiúnta margaíochta, más rud é:
(c) gaíreas le haghaidh taighde san fhisic núicléach, mar roghnóiri luais neodrón;
Céim 3Cén struchtúr atá ar FP7*?
Na bunrudaí"
Complete duplicates,EUbookshop,21,"BEARTAS IOMPAIR
Úrfhíon fíonchaor, faoi choipeadh nó coiscthe ó choipeadh ar dhóigh seachas trí alcól a chur leis
Nuair a cuireadh in iúl don Choimisiún go raibh an t-ordú sin ann, chuir sé bac ar gach íocaíocht leis an gcuideachta agus liostaigh sé í faoin gcóras ar a dtugtar “Córas Rabhaidh Thráthúil” (Early Warning System – EWS).
D’fhág mé é nuair a fuair mé amach go raibh mé torrach.
Airteagal II 86 den Bhunreacht."
Complete duplicates,EUbookshop,22,"Thug Stiúrthóir Europol le fi os don Ombudsman go raibh an litir a sheol sé chucu ag iarraidh uathu faoin ngearán curtha ar aghaidh chuig Comhchomhlacht Maoirseachta Europol (CME).
Dá éagmais sin, údaróidh an Coimisiún do na Ballstáit na bearta cosanta is gá a ghlacadh, agus socróidh sé coinníollacha agus rialacha mionson raithe na mbeart sin.
Tugann un Chomhuirle Eorpuch dá huiré go ude.ml.udii un Dunmhuirg u ceurt u thréigeun Uuchturánucht an Aontuis u fheidhmiú i nguch cas inu mbeidh ullmhú ugus cur chun feidhme cinntí ugus gníomhuíochtuí de chuid un Aontuis u bhfuil impleuchtui ucu i réimse nu cosuntu i dtreis.
Nuair a maraíodh a hiníon, níor ghéill Nurit don éadóchas ach rinne sí óráidí a bhí dírithe ar fhreagracht na ndaoine sin a chuireann beartas gearrbhreathnaitheach i bhfeidhm agus nach dtugann aitheantas do chearta daoine eile agus a chothaíonn fuath agus coinbhleacht.
Na Ballstáit a bhfuil sé ar intinn acu comhar feabhsaithe a bhunú eatarthu féin, féadfaidh siad leas a bhaint as na hinstitiúidí, na nósanna imeachta agus na sásraí ata leagtha síos sa Chonradh seo agus sa Chonradh ag bunú an Chomhphobail Eorpaigh ar choinníoll:"
Complete duplicates,EUbookshop,23,"TEIDEAL VI
Déanfar na rátai dleachta a bhaineann le táirgí leatlichrioclinaithe a alhbhrcttliniú i bhfianaise an rata ala socrailhe don mhiotal neamhshaoirsillie. de reír an nós imeachta atá leagtha sios in airteagal 21(2) den Chonradh seo.
Cuideoidh na Ballstáit leis na hinfheistíochtai is gá chun na tíortha agus na críocha sin a fhorbairt go comhleanúnach.
Russoir agus chuaigh Czech
Beidh ag gabháil leis an iarratas, nuair is cui sin, an cinneadh a bhfuil a neamhniú á iarraidh nó, i gcás imeachtaí ín aghaidh cinneadh intuigthe, fianaise dhoiciméid ar an data a taisceadh an t-iarratas. Mura"
Complete duplicates,EUbookshop,24,"‘Is maith an rud é go ndéantar iniúchtaí,’ arsa Pietro Giordano, duine de na hiascairí, go foráilteach.
— 393 L 0002: Treoir 93/2/CEE ón gCoimisiún an 28 Eanáir 1993 (IO Uimh. L 54, 5.3.1993, Ich. 20).
Teanga uchtála an duine: Coincheap lárnach na tuarascála a sholáthar Grúpa Maalouf atá ann.
Ar an gcé
Bealach Pyhrn-Schober"
Complete duplicates,EUbookshop,25,"Carnadh dhá phionós den chineál céanna atá i gceist sa riail a thoirmisceann an carnadh, eadhon pionóis dlí choiriúil.
Is iad a bheidh ar an gCoiste ionadaithe ó na haicmí éagsúla sa saol eacnamaíoch agus sóisialta.
Airteagal 139 (***)
Féadfaidh na hinstitiúidí sin dui i gcomhairle leis an gCoiste i ngach cas inar cui leo é.
Conradh ar an Aontas Eorpach (10 C 191, 29.7.1992)"
Complete duplicates,EUbookshop,26,"Achoimre ar an gcinneadh ar ghearán 3269/2005//TN in aghaidh an Choimisiúin Eorpaigh
Beidh an tAontas saortha freisin ó aon dleachtanna custaim agus ó aon toirmisc agus srianta ar allmhairí agus onnmhairí maidir lena fhoilseacháin.
Réimsí a bhaineann le gníomhaíocht tacaíochta, chomhordaitheach nó chomhlántach
(6) comhar breit hi n nach in abhan shibhialta;
Go dti go socrófar na Rialacháin Foirne d'oifigigh an Chomhphobail agus na Coinníollacha Fostaíochta dá sheirbhísigh eile, mar a fhoráiltear ín Airteagal 186, déanfaidh gach institiúid an fhoireann a theastaíonn uaithi a earcú agus chuige sin tabharfaidh sí conarthaí tréimhse teoranta i gcrích."
Complete duplicates,EUbookshop,27,"Airteagal 2 (**)
Staidéar ar bhearta leormhaithe coiscthe agus cosanta agus ar na caighdeáin sábháilteachta is iomchuí.
3 atá i gceangal le hIonstraim Aontachais an 16 Aibreán 2003 maidir le Limistéir Bhunáite Fhlaitheasacha Ríocht Aontaithe na Breataine Móire agus Thuaisceart Éireann sa Chipir fada mhaireann an fhionraíocht ar chur i bhfeidhm acquis an Chomhphobail agus an Aontais de réir Airteagal 68.
Féadfaidh aon duine nádúrtha nó dlítheanach, faoina coinníollacha atá leagtha síos sa chéad mhír agus sa dara mír, gearán a dhéanamh leis an gCúirt gur mhainnigh institiúid, comhlacht, oifig nó gníomhaireacht de chuid an Aontais aon ghníomh seachas moladh nó tuairim a dhíriú chun an duine sin.
I bhformhór na gcásanna, sa lá atá inniu ann, má tá rialachán nó treoir Eorpach le bheith ann, caithdh an Pharlaimint agus an Chomhairle comhaontú ar a mbeidh sa rialachán nó sa treoir sin."
Complete duplicates,EUbookshop,28,"Foilseofar na cinn is fearr ar an láithreán Gréasáin nó i ngreannán amach anseo.
aireacht dui i mbun a dualgas, ní thabharfar comhaontuithe agus conarthai i gcrích maidir le soláthar mianta, bunábhar nó ábhar inscoilte speisialta, ná ní athnuafar iad, ach amháin le ceadú roimh ré ón gCoimisiún.
Forálacha ginearálta agus críochnaitheacha
Uimhir
I gConradh CEFA, cuirtear ‘Cúirt Bhreithiúnais an Aontais Eorpaigh’ in ionad ‘an Chúirt Bhreithiúnais’."
Complete duplicates,EUbookshop,29,"Teideal a Se — Forálacha maidir leis an tréimhsc tosaigh
Na toscaireachtaí chuig comhchoistí parlaiminteacha
Mura mbionn tuairim tugtha ag an gCoimisiún laistigh de thrí mhí ón data a tugadh an t-ábhar os a chomhair, ní fhágfaidh easnamh na tuairime sin nach bhféadfar an t-ábhar a thabhairt os comhair na Cúirte Breithiúnais.
Féadfaidh an Chomhairle, ag gníomhú di d'aon toil ar thogra ón gCoimisiún agus tar éis dui i gcomhairle le Parlaimint na hEorpa, an tréimhse dá dtagraítear i mir 1 a fhadú.
Cuirtear an méid seo a leanas isteach i gCuid A, mir 3, (b), (i), den Iarscríbhinn faoin gceannteideal ""INFORMATION RELATING TO ANNEX II of Directive 90/220/EEC"":"
Complete duplicates,EUbookshop,30,"Airteagal 101*
Réimsí nua comhair
Cuirfidh an Chúirt eagar dlísheomraí de thriúr agus de chúigear Breithiúna uirthi féin.
389 R 2392: Rialachán (CEE) Uimh.
[Feic Airteagal 15 agus 16 den Chonradh Comhcheangail é seo a leanas a dtéacs:"
Complete duplicates,EUbookshop,31,"Má tá bunús le hachomharc a dhéanann Ballstát nó institiúid Chomhphobail nach ndearna idiragairt sna himeachtaí os comhair na Cúirte Céadchéime, féadfaidh an Chúirt Bhreithiúnais, más dóigh leí gur gá sin, a rá cad iad na héifeachtaí de bhreith neamhnithe na Cúirte Céadchéime a mheasfar a bheith críochnatheach i leith na bpáirtithe sa dlíthíocht.
Bunófar an iniúchóireacht ar thaifid agus, más gá. déanfar ar an bhfód i ín Institiúidí an Chomhphobail. agus sna Ballstáit.
Bhí an gearánach ina pháirtí leasmhar i bhfiosrúchán an Choimisiúin as ar lean bearta sealadacha frithdhumpála a ghlacadh i ndáil le hallmhairí coisbhirt áirithe ar a bhfuil uachtair leathair agus ar de thionscnamh na Síne agus Vítneam5 iad.
Déanfar folúntas a tharlóidh de bharr éirí as oifig nó scor go héigeantach nó de bharr báis a líonadh ar feadh a bhfuil fágtha de théarma oifige an chomhalta le comhalta nua arna cheapadh ag an gComhairle, ag gníomhú di tri thromlach cáilithe.
(iii) I ndiaidh na hiontrála deiridh faoin gceannteideal ""K. PORTUGAL"" cuirtear isteach:"
Complete duplicates,EUbookshop,32,"Déanfaidh Parlaimint na hEorpa, i gcomhpháirt leis an gComhairle, feidhmeanna reachtacha agus buiséadacha a fheidhmiú.
— veaineanna, vaigíní agus trucailí chun earraí a iompar d'iarnród, de thrambhealach nó ar rianta, de leithead ar bith;
Déanfaidh an Chomhairle, i gcomhaontú le hinstitiúidi AIE, na rialacha mionsonrailhe praiticiúla is gá a ghlacadh.
Soghluaisteacht agus slí bheatha
Ní raibh an dara rogha ag rialtas na Cipire ach bearta éigeandála a chur i bhfeidhm lena n-áirítear an soláthar uisce a laghdú 30 %."
Complete duplicates,EUbookshop,33,"Cuirtear an méid seo a leanas in ionad Airteagal 222:
2526/85 ón gCoimisiún an 5 Lúnasa 1985 (IO Uimh. L 240, 7.9.1985, Ich. 1),
AITHNÍONN SIAD gurb é a gcomhleas é go mbainfí amach cuspóirí chlár na hIodáile;
De réir dóchúlachta, bíonn na páistí seo níos measa maidir le dul chun cinn sa scoil, maidir le sláinte agus maidir le post a fháil níos moille.
Agus breithiúna á gceapadh aici, féachfaidh an Chomhairle leis an gcothromaíocht a chinntiú i gcomhdhéanamh Bhinse na Seirbhíse Sibhialta ar bhonn geografach a bheidh chomh fairsing agus is féidir ó thaobh náisiúnaigh na mBallstát agus ó thaobh na gcóras náisiúnta dlí arna n-ionadú."
Complete duplicates,EUbookshop,34,"77), mar atá arna leasú go deireanach le:
Iompar
Tonaí de chóibhéis dhé-ocsaídcharbhóin/GWhel(lena n-áirítear astaíochtaícruaiche agus céimeanna eile) Ardluacha Íseal-luacha Iontaiseach le gabháil dé-ocsaíd charbóin
Déanfaidh an Chomhairle, de réir an nós imeachta dá dtagraítear in Airteagal 43(2) de Chonradh CEE, na-modhanna a ghlacadh is gá chun forálacha an Airteagail seo a chur chun feidhme d'fhonn oibriú rianúil an chombheartais talmhaíochta, agus go háirithe comheagraíocht na margaí, a áirithiú.
Dúirt sé chomh maith nach raibh aon fhadhb ann maidir le Bord na nGearán ag glacadh le dlínse do chinntí a rinneadh, ina leithéid de chásanna, faoi shean-leagan na rialacha."
Complete duplicates,EUbookshop,35,"François FILLON, chuig an seimineár.
Ghabh an Chomhairle leithscéal le gearánach i ndiaidh dom saincheist teanga a thabhairt chun solais agus dhearbhaigh an Chomhairle a tiomantas i leith fadhbanna cosúil leo seo a sheachaint amach anseo.
Ní bhainfear a shaoirse d'aon duine ach amháin sna cásanna seo a leanas agus de réir nós imeachta a bheas ordaithe leis an dlí: a) duine a choinnneáil go dleathach tar éis é a chiontú a gcúirt inniúil; b) duine a ghabháil nó a choinnneáil go dleathach toisc gan é do dhéanamh de réir orduithe dhleathaigh chúirte nó chun a chur faoi de ar go gcomhlíonfar aon oibleagáid a bheas ordaithe leis an dlí; c) duine a ghabháil nó a choinneáil go dleathach chun é a thabhairt os comhair an údaráis dhlíthiúil inniúil as amhras réasúnach go bhfuil sé tar éis cion a dhéanamh nó nuair a mheasfar go réasúnach gur gá sin chun é a chosc ó chion a dhéanamh nó ó theitheadh i ndiaidh cion a dhéanamh; d) mionaoiseach a choinneáil le hordú dleathach chun maoirsiú a dhéanamh ar a chuid oideachais nó é a choinneáil go dleathach chun é a thabhairt os comhair an údaráis dhlíthiúil inniúil; e) daoine a choinneáil go dleathach chun galair tógálach a chosc ó leathadh agus daoine mímheabhracha, anphótairí, andúiligh i ndruganna, nó fuadairí a choinneáil amhlaidh; f) duine a ghabháil nó a choinneáil go dleathach chun é a chosc ó theacht isteach gan údarás sa tír, nó duine a ghabháil nó a choinneáil amhlaidh a bhfuil beart á thionscnamh ina choinne d'fhonn é d'ionarbadh nó d'eiseachadadh.
Chuige sin, cuirfidh na Ballstáit in iúl don Choimisiún na forálacha is infheidhme ar dháta an Chonartha seo a theacht i bhfeidhm, agus aon dréacht-fhorálacha den chineál céanna ina dhiaidh sin.
391 L 0495: Treoir 91/495/CEE ón gComhairle an 27 Samhain 1990 maidir le fadhbanna shláinte an phobail agus fadhbanna sláinte ainmhithe a dhéanann difear do fheoil choinín agus feoil ghéim feirme a tháirgeadh agus a chur ar an margadh (IO Uimh. L 268, 24.9.1991, Ich."
Complete duplicates,EUbookshop,36,"Féadfaidh Ballstát cur chun feidhme na dtreoracha ama nglacadh de bhun mhír 2 a chur ar iontaoibh na gcomhpháirtithe sóisialta, arna iarraidh sin go comhpháirteach dóibh.
Síoda amh (gan bheith casta)
Leasaítear Iarscríbhinn 32 (DRA — Coras próiseála dearbhuithe ríomhairithe) mar a leanas:
Ach amháin i gcás an Bord Stiúrthóiri ar fad a athrú, gabhfar ionad comhalta go ceann a bhfuil fágtha dá théarma oifige.
Má thugann an Coiste Bainistíochta agus an Coimisiún araon tuairim neamhfhabhrach, ni fhéadfaidh an Bord Stiúrthóirí an iasacht nó an ráthaíocht a dheonú."
