ID,ChatGPT,Claude,Copilot,DeepSeek,Gemini,Grok
155,CC,CB,WL,WL,CC,WL
156,CS,CB,CB,WL,CC,WL
157,CS,CS,CC,WL,CC,WL
158,CC,CC,CC,CC,CC,WL
159,CS,CB,CB,WL,CC,WL
160,CC,CB,CB,WL,CC,WL
161,NL,NL,CS,NL,CB,NL
162,NL,NL,CC,NL,CB,NL
163,NL,NL,CC,NL,CB,NL
164,NL,NL,NL,NL,CB,NL
165,NL,NL,CC,NL,CB,NL
166,NL,NL,CC,NL,CB,NL
167,NL,NL,CC,NL,CC,NL
168,NL,NL,WL,NL,CB,NL
169,NL,NL,WL,NL,CB,NL
170,NL,NL,WL,NL,CB,NL
171,CC,NL,CC,NL,CC,NL
172,NL,NL,WL,NL,CB,NL
173,CS,NL,WL,NL,CC,NL
174,NL,NL,WL,NL,CB,NL
175,NL,NL,CC,NL,CC,NL
176,NL,NL,CC,NL,CC,NL
177,CC,NL,WL,NL,CC,NL
178,NL,NL,WL,NL,CB,NL
179,NL,NL,CC,NL,CB,NL
180,NL,NL,NL,NL,CS,NL
181,CC,CC,CS,CB,CC,CC
182,CC,CC,CS,CB,CC,CC
183,CC,CC,CS,CB,CC,CC
184,CC,CC,CS,CB,CC,CC
185,CC,CC,CB,CB,CC,CC
186,CC,CC,CC,CB,CC,CC
187,CC,CC,CC,CB,CC,CC
188,CC,CC,CS,CB,CC,CC
189,CC,CB,CS,CB,CC,CC
190,CC,CC,CC,CB,CC,CC
191,CC,CC,CC,CB,CC,CC
192,CC,CB,CB,CB,CC,CC
193,CC,CC,CS,CB,CC,CC
194,CC,CC,CB,CB,CC,CC
195,CC,CC,CC,CB,CC,CC
196,CC,CC,CB,CB,CC,CC
197,CB,CB,WL,CB,CC,CC
198,CC,CC,CC,CB,CC,CC
199,CC,CB,CB,CB,CC,CC
200,CC,CC,CC,CB,CC,CC
201,WL,CS,CB,WL,CC,WL
202,WL,CS,CS,WL,CC,WL
203,CC,CC,CC,CC,CC,WL
204,CC,CC,CC,CC,CC,WL
205,CC,CC,CC,CC,CC,WL
206,CC,CS,CC,WL,CC,WL
207,WL,CC,WL,WL,CC,WL
208,CC,CS,CB,WL,CC,WL
209,CC,CC,CC,WL,CC,WL
210,WL,CC,CB,CC,CC,WL
211,CC,CC,CC,CC,CC,WL
212,WL,CC,CS,WL,CC,WL
213,CC,CC,CC,CC,CC,WL
214,CC,CS,CB,WL,CC,WL
215,CC,CC,CC,CC,CC,WL
216,CC,CC,CC,CC,CC,WL
217,CC,CC,CC,CC,CC,WL
218,CS,CS,CC,WL,CC,WL
219,CS,CS,CC,WL,CC,WL
220,CC,CC,WL,CC,CC,WL
221,WL,NL,CC,NL,CC,NL
222,WL,NL,WL,NL,CB,NL
223,NL,NL,WL,NL,CB,NL
224,WL,NL,WL,NL,CB,NL
225,NL,NL,CC,NL,CB,NL
226,WL,NL,CC,NL,CB,NL
227,NL,NL,WL,NL,CC,NL
228,NL,NL,WL,NL,CB,NL
229,NL,NL,WL,NL,CB,NL
230,NL,NL,WL,NL,CB,NL
231,NL,NL,NL,NL,CB,NL
232,WL,NL,CC,NL,CC,NL
233,NL,NL,WL,NL,WL,NL
234,NL,NL,CC,NL,CB,NL
235,NL,NL,WL,NL,CB,NL
236,NL,NL,WL,NL,CB,NL
237,NL,NL,WL,NL,CB,NL
238,NL,NL,WL,NL,CB,NL
239,NL,NL,WL,NL,CB,NL
240,NL,NL,WL,NL,CB,NL
